rowId,source,campaign,startDate,endDate,nonSuspect,highRisk,suspect,total,clickClean,clickTotal,discrepancy,salesClean,salesTotal,prebidClean,prebidTotal,clickSuspect,salesSuspect,prebidSuspect,clickHighRisk,salesHighRisk,prebidHighRisk,nonSuspectRatio,suspectRatio,highRiskRatio,totalRisk,totalRiskRatio,clickCleanRatio,clickTotalRisk,clickTotalRiskRatio,clickRate,trueClickRate,discrepancyRatio,salesCleanRatio,salesTotalRisk,salesTotalRiskRatio,salesRate,prebidCleanRatio,prebidTotalRisk,prebidTotalRiskRatio,clickSuspectRatio,salesSuspectRatio,prebidSuspectRatio,clickHighRiskRatio,salesHighRiskRatio,prebidHighRiskRatio,rcDeviceReputationRatio,rcIpReputationRatio,rcProxyRatio,rcSpoofedRatio,rcHostingProviderRatio,rcAutomatedTrafficRatio,rcIdentifiedCrawlerRatio,mobileAttributionRiskRatio,totalAttributionRisk,highAttributionRisk,domain,subsource,sourceId,campaignId
52,6170,1055,2017-03-22,2017-03-25,5,0,0,5,0,0,5,5,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,topspherecloud.com,183,6170,1055
53,5468,1042,2017-03-13,2017-04-10,108,1,1,110,0,0,110,108,110,0,0,0,1,0,0,1,0,0.981818,0.00909091,0.00909091,2,0.0181818,0,0,0,0,0,1,0.981818,2,0.0181818,1,0,0,0,0,0.00909091,0,0,0.00909091,0,0,0.00909091,0,0,0.00909091,0,0,,,,findlaw.com,latl,5468,1042
54,6170,1061,2017-04-01,2017-04-01,2,0,0,2,0,0,2,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,orcaleap.com,1400,6170,1061
55,5468,1067,2017-03-17,2017-04-06,2,0,0,2,0,0,2,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,findlaw.com,sl,5468,1067
56,5468,871,2017-03-16,2017-04-04,6,0,0,6,0,0,6,6,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,sl,5468,871
57,5468,871,2017-03-13,2017-04-03,8,1,0,9,0,0,9,8,9,0,0,0,0,0,0,1,0,0.888889,0,0.111111,1,0.111111,0,0,0,0,0,1,0.888889,1,0.111111,1,0,0,0,0,0,0,0,0.111111,0,0,0.111111,0,0,0,0,0,,,,,an,5468,871
58,5468,1067,2017-03-27,2017-03-29,3,0,0,3,0,0,3,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,findlaw.com,,5468,1067
59,5460,988,2017-03-21,2017-03-21,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,facebook.com,1851330704,5460,988
60,5460,988,2017-03-22,2017-03-22,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,facebook.com,1851411438,5460,988
61,5393,1055,2017-04-09,2017-04-10,4,0,0,4,0,0,4,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,59563,5393,1055
62,5308,1042,2017-03-21,2017-03-21,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,v0ij.com,hpredirect,5308,1042
63,5468,871,2017-03-12,2017-04-10,46,0,0,46,0,0,46,46,46,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,findlaw.com,sl,5468,871
64,5308,1039,2017-03-13,2017-03-22,3,0,0,3,0,0,3,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,hpredirect,5308,1039
65,5468,964,2017-03-12,2017-03-22,4,0,0,4,0,0,4,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,findlaw.com,sl,5468,964
66,6170,1061,2017-03-21,2017-03-22,7,0,0,7,0,0,7,7,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,transposi.com,1502,6170,1061
67,5468,256,2017-03-13,2017-04-10,44,0,1,45,0,0,45,44,45,0,0,0,1,0,0,0,0,0.977778,0.0222222,0,1,0.0222222,0,0,0,0,0,1,0.977778,1,0.0222222,1,0,0,0,0,0.0222222,0,0,0,0,0,0.0222222,0,0,0,0,0,,,,findlaw.com,sl,5468,256
68,5468,256,2017-03-13,2017-04-10,17,0,0,17,0,0,17,17,17,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,latl,5468,256
69,5460,988,2017-04-05,2017-04-05,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,facebook.com,1849513916,5460,988
70,5468,964,2017-03-13,2017-03-17,3,0,0,3,0,0,3,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,findlaw.com,bl,5468,964
